numeric_grade,pollscore,start_date,end_date,election_date,politician,approve,disapprove,other,party
3,-1.1,9/11/24,9/13/24,11/5/24,Kamala Harris,41,47,11,1
3,-1.1,9/11/24,9/13/24,11/5/24,Kamala Harris,44,50,6,1
3,-1.1,9/11/24,9/13/24,11/5/24,Kamala Harris,45,50,5,1
1.8,0.4,9/12/24,9/12/24,11/5/24,Kamala Harris,45,37,18,1
,,9/11/24,9/12/24,11/5/24,Kamala Harris,48,49,3,1
1.5,-0.1,9/4/24,9/5/24,11/5/24,Kamala Harris,47,47,6,1
1.1,0.2,9/3/24,9/5/24,11/5/24,Kamala Harris,45,49,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,47.8,52.2,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,46.2,53.8,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,48.2,51.8,0,1
0.5,1.6,8/29/24,9/1/24,11/5/24,Kamala Harris,46.7,53.3,0,1
,,8/1/24,8/31/24,11/5/24,Kamala Harris,44.9,52.5,2.7,1
1.8,-0.4,8/28/24,8/30/24,11/5/24,Kamala Harris,44,44,13,1
1.8,0.4,8/29/24,8/29/24,11/5/24,Kamala Harris,43,42,15,1
2.9,-1,8/25/24,8/28/24,11/5/24,Kamala Harris,46.7,46.4,6.9,1
,,8/24/24,8/28/24,11/5/24,Kamala Harris,42,51,7,1
1.6,-0.2,8/23/24,8/28/24,11/5/24,Kamala Harris,48,46,6,1
3,-1.1,8/22/24,8/26/24,11/5/24,Kamala Harris,42,46,12,1
3,-1.1,8/22/24,8/26/24,11/5/24,Kamala Harris,45,50,6,1
2.7,-0.8,8/23/24,8/25/24,11/5/24,Kamala Harris,50,48,2,1
2.8,-0.9,8/23/24,8/25/24,11/5/24,Kamala Harris,39,48,13,1
2.5,-0.4,8/1/24,8/20/24,11/5/24,Kamala Harris,47,49,3,1
2.6,-1.2,8/1/24,8/15/24,11/5/24,Kamala Harris,50,48,3,1
2.8,-0.9,8/9/24,8/13/24,11/5/24,Kamala Harris,39,49,12,1
2.8,-0.9,8/9/24,8/13/24,11/5/24,Kamala Harris,41,52,8,1
,,8/7/24,8/8/24,11/5/24,Kamala Harris,47.3,46.9,5.8,1
,,8/1/24,8/5/24,11/5/24,Kamala Harris,46,48,7,1
1.5,-0.1,8/2/24,8/3/24,11/5/24,Kamala Harris,46,47,7,1
1.8,-0.4,7/31/24,8/2/24,11/5/24,Kamala Harris,41,46,14,1
2.4,-0.4,7/29/24,8/1/24,11/5/24,Kamala Harris,46,47,7,1
,,7/22/24,7/31/24,11/5/24,Kamala Harris,45.7,50.9,3.4,1
1.8,0.4,7/29/24,7/29/24,11/5/24,Kamala Harris,42,41,19,1
2.8,-0.9,7/26/24,7/28/24,11/5/24,Kamala Harris,39,48,13,1
1.1,0.2,7/26/24,7/28/24,11/5/24,Kamala Harris,46.5,48.9,4.7,1
1.1,0.2,7/26/24,7/28/24,11/5/24,Kamala Harris,47.7,49,3.4,1
,,7/23/24,7/25/24,11/5/24,Kamala Harris,41,50,9,1
1.5,-0.1,7/22/24,7/25/24,11/5/24,Kamala Harris,39,57,4,1
1.5,-0.1,7/22/24,7/25/24,11/5/24,Kamala Harris,41,58,1,1
1.1,0.2,7/22/24,7/24/24,11/5/24,Kamala Harris,43,51,0,1
3,-1.1,7/19/24,7/22/24,11/5/24,Kamala Harris,35,48,16,1
3,-1.1,7/19/24,7/22/24,11/5/24,Kamala Harris,39,51,10,1
1.5,-0.1,7/19/24,7/21/24,11/5/24,Kamala Harris,38,54,8,1
1.5,-0.1,7/19/24,7/21/24,11/5/24,Kamala Harris,39,56,5,1
,,7/1/24,7/20/24,11/5/24,Kamala Harris,33.1,60.7,6.1,1
3,-1.1,7/13/24,7/16/24,11/5/24,Kamala Harris,36,48,17,1
3,-1.1,7/13/24,7/16/24,11/5/24,Kamala Harris,39,51,9,1
1.8,0.4,7/15/24,7/15/24,11/5/24,Kamala Harris,39,41,21,1
1.5,-0.1,7/13/24,7/15/24,11/5/24,Kamala Harris,39,54,7,1
3,-1.1,7/7/24,7/9/24,11/5/24,Kamala Harris,36,49,14,1
3,-1.1,7/7/24,7/9/24,11/5/24,Kamala Harris,39,52,9,1
1.8,0.4,7/8/24,7/8/24,11/5/24,Kamala Harris,38,41,20,1
,,6/28/24,7/7/24,11/5/24,Kamala Harris,42,51,7,1
,,6/28/24,7/7/24,11/5/24,Kamala Harris,44,52,5,1
3,-1.1,6/30/24,7/2/24,11/5/24,Kamala Harris,35,50,15,1
3,-1.1,6/30/24,7/2/24,11/5/24,Kamala Harris,37,53,10,1
3,-1.1,6/28/24,7/2/24,11/5/24,Kamala Harris,42,58,0,1
1.5,-0.1,6/28/24,6/30/24,11/5/24,Kamala Harris,38,54,8,1
,,5/31/24,6/27/24,11/5/24,Kamala Harris,39,51,10,1
,,5/31/24,6/27/24,11/5/24,Kamala Harris,43,51,6,1
1.8,0.4,6/16/24,6/17/24,11/5/24,Kamala Harris,37,42,21,1
1.8,0.4,6/11/24,6/12/24,11/5/24,Kamala Harris,39,44,18,1
,,5/17/24,5/30/24,11/5/24,Kamala Harris,40,49,11,1
,,5/17/24,5/30/24,11/5/24,Kamala Harris,44,49,7,1
1.8,0.4,5/13/24,5/13/24,11/5/24,Kamala Harris,37,41,21,1
1.8,0.4,5/1/24,5/1/24,11/5/24,Kamala Harris,36,44,20,1
2.9,-0.9,4/18/24,4/22/24,11/5/24,Kamala Harris,40,55,5,1
2.9,-0.9,4/18/24,4/22/24,11/5/24,Kamala Harris,39,57,4,1
1.8,0.4,4/6/24,4/7/24,11/5/24,Kamala Harris,36,44,21,1
1.8,0.4,3/15/24,3/15/24,11/5/24,Kamala Harris,35,46,13,1
2.9,-1,3/8/24,3/11/24,11/5/24,Kamala Harris,36.3,52.1,11.6,1
1.8,0.4,3/2/24,3/2/24,11/5/24,Kamala Harris,33,44,23,1
2.8,-1.1,2/25/24,2/28/24,11/5/24,Kamala Harris,39,58,3,1
2.9,-0.9,2/8/24,2/12/24,11/5/24,Kamala Harris,35,58,7,1
1.8,0.4,2/10/24,2/10/24,11/5/24,Kamala Harris,35,44,20,1
,,1/17/24,1/28/24,11/5/24,Kamala Harris,36,52,12,1
,,1/17/24,1/28/24,11/5/24,Kamala Harris,39,53,8,1
1.8,0.4,1/18/24,1/18/24,11/5/24,Kamala Harris,36,42,21,1
2.9,-1,12/23/23,12/26/23,11/5/24,Kamala Harris,32.7,57.3,10,1
2.5,-0.4,12/1/23,12/20/23,11/5/24,Kamala Harris,40,58,2,1
1.8,0.4,12/8/23,12/8/23,11/5/24,Kamala Harris,37,45,18,1
2.9,-0.9,11/30/23,12/4/23,11/5/24,Kamala Harris,35,57,8,1
2.9,-0.9,11/30/23,12/4/23,11/5/24,Kamala Harris,35,57,8,1
2.8,-1.1,11/10/23,11/13/23,11/5/24,Kamala Harris,38,59,6,1
,,11/1/23,11/11/23,11/5/24,Kamala Harris,37,52,10,1
2.8,-0.6,10/27/23,11/2/23,11/5/24,Kamala Harris,39,61,0,1
2.8,-0.6,10/27/23,11/2/23,11/5/24,Kamala Harris,39,61,0,1
1.8,0.4,10/29/23,10/29/23,11/5/24,Kamala Harris,34.3,41.9,24,1
2.9,-0.9,9/19/23,9/24/23,11/5/24,Kamala Harris,36,56,8,1
2.9,-0.9,9/19/23,9/24/23,11/5/24,Kamala Harris,36,57,7,1
1.8,0.4,9/17/23,9/17/23,11/5/24,Kamala Harris,35,42,23,1
,,8/17/23,9/12/23,11/5/24,Kamala Harris,38,51,11,1
3,-1.1,9/5/23,9/8/23,11/5/24,Kamala Harris,41,59,0,1
1.8,0.4,9/3/23,9/4/23,11/5/24,Kamala Harris,34,43,23,1
2,0.2,8/24/23,8/31/23,11/5/24,Kamala Harris,40,56,4,1
1.5,-0.1,8/17/23,8/21/23,11/5/24,Kamala Harris,41,47,12,1
2,0,8/11/23,8/14/23,11/5/24,Kamala Harris,44,54,2,1
1.8,0.4,8/5/23,8/6/23,11/5/24,Kamala Harris,33,44,23,1
2,0,7/28/23,7/31/23,11/5/24,Kamala Harris,41,56,3,1
2.8,-0.6,7/1/23,7/31/23,11/5/24,Kamala Harris,42,57,1,1
2,0,7/14/23,7/17/23,11/5/24,Kamala Harris,44,54,2,1
2.9,-0.9,7/12/23,7/17/23,11/5/24,Kamala Harris,40,52,7,1
2.9,-0.9,7/12/23,7/17/23,11/5/24,Kamala Harris,40,53,7,1
1.8,0.4,7/6/23,7/6/23,11/5/24,Kamala Harris,35,44,14,1
2.8,-1.1,6/23/23,6/26/23,11/5/24,Kamala Harris,41,56,3,1
1.8,0.4,6/25/23,6/25/23,11/5/24,Kamala Harris,35,40,23,1
2,0,6/16/23,6/19/23,11/5/24,Kamala Harris,42,55,3,1
1.8,0.4,6/10/23,6/11/23,11/5/24,Kamala Harris,37,45,19,1
2.4,-0.4,5/31/23,6/8/23,11/5/24,Kamala Harris,39,51,10,1
2,0,6/2/23,6/5/23,11/5/24,Kamala Harris,38,60,2,1
1.8,0.4,5/31/23,5/31/23,11/5/24,Kamala Harris,33,48,19,1
2.9,-0.9,5/18/23,5/23/23,11/5/24,Kamala Harris,37,52,11,1
2.9,-0.9,5/18/23,5/23/23,11/5/24,Kamala Harris,37,53,10,1
1.8,0.4,5/17/23,5/17/23,11/5/24,Kamala Harris,36,44,21,1
2,0,5/5/23,5/8/23,11/5/24,Kamala Harris,39,59,3,1
3,-1.1,5/5/23,5/8/23,11/5/24,Kamala Harris,40,46,14,1
3,-1.1,5/5/23,5/8/23,11/5/24,Kamala Harris,43,49,8,1
3,-1.1,4/29/23,5/2/23,11/5/24,Kamala Harris,41,44,15,1
3,-1.1,4/29/23,5/2/23,11/5/24,Kamala Harris,41,49,9,1
1.8,0.4,4/24/23,4/24/23,11/5/24,Kamala Harris,39,47,15,1
3,-1.1,4/21/23,4/24/23,11/5/24,Kamala Harris,43,57,0,1
2,0,4/21/23,4/24/23,11/5/24,Kamala Harris,42,56,1,1
2.8,-1.1,4/21/23,4/24/23,11/5/24,Kamala Harris,43,54,3,1
2,0,4/14/23,4/15/23,11/5/24,Kamala Harris,41,56,3,1
1.8,0.4,4/4/23,4/4/23,11/5/24,Kamala Harris,35,44,21,1
2,0,3/31/23,4/2/23,11/5/24,Kamala Harris,44,53,3,1
1.2,1.7,3/29/23,3/31/23,11/5/24,Kamala Harris,42,46.3,11.7,1
1.8,0.4,3/20/23,3/20/23,11/5/24,Kamala Harris,37,43,20,1
2.9,-0.9,3/16/23,3/20/23,11/5/24,Kamala Harris,36,53,12,1
2.9,-0.9,3/16/23,3/20/23,11/5/24,Kamala Harris,37,53,10,1
2,0,3/17/23,3/19/23,11/5/24,Kamala Harris,43,54,3,1
1.2,1.7,3/15/23,3/17/23,11/5/24,Kamala Harris,42,45.5,12.5,1
2,0,3/10/23,3/12/23,11/5/24,Kamala Harris,42,56,3,1
2,0,3/3/23,3/5/23,11/5/24,Kamala Harris,43,53,4,1
1.8,0.4,2/19/23,2/19/23,11/5/24,Kamala Harris,38,40,22,1
2,0,2/17/23,2/19/23,11/5/24,Kamala Harris,41,56,3,1
1.2,1.7,2/15/23,2/17/23,11/5/24,Kamala Harris,42,46.6,11.4,1
2,0,2/10/23,2/13/23,11/5/24,Kamala Harris,42,55,3,1
2,0,2/3/23,2/5/23,11/5/24,Kamala Harris,42,55,3,1
2.8,-1.1,1/27/23,1/30/23,11/5/24,Kamala Harris,39,57,4,1
1.8,0.4,1/28/23,1/29/23,11/5/24,Kamala Harris,38,41,21,1
2,0,1/20/23,1/22/23,11/5/24,Kamala Harris,40,57,3,1
1.2,1.7,1/18/23,1/20/23,11/5/24,Kamala Harris,41.7,46.3,12,1
1.8,0.4,1/16/23,1/16/23,11/5/24,Kamala Harris,35,42,23,1
2,0,1/6/23,1/9/23,11/5/24,Kamala Harris,41,56,4,1
1.2,1.7,1/4/23,1/6/23,11/5/24,Kamala Harris,43.1,45.5,11.4,1
1.2,1.7,12/16/22,12/18/22,11/5/24,Kamala Harris,41.3,45.4,13.3,1
1.8,0.4,12/5/22,12/5/22,11/5/24,Kamala Harris,38,44,18,1
1.2,1.7,11/30/22,12/2/22,11/5/24,Kamala Harris,42.2,45.4,12.4,1
2,0,11/25/22,11/27/22,11/5/24,Kamala Harris,43,55,2,1
1.8,0.4,11/17/22,11/17/22,11/5/24,Kamala Harris,37,43,20,1
2,0,11/11/22,11/13/22,11/5/24,Kamala Harris,41,57,2,1
1.8,0.4,11/2/22,11/2/22,11/5/24,Kamala Harris,37,45,18,1
2,0,10/28/22,10/30/22,11/5/24,Kamala Harris,41,57,2,1
1.8,0.4,10/12/22,10/12/22,11/5/24,Kamala Harris,37,43,21,1
1.8,0.4,10/2/22,10/3/22,11/5/24,Kamala Harris,35,44,22,1
2,0,9/30/22,10/2/22,11/5/24,Kamala Harris,39,59,2,1
2,0,9/16/22,9/18/22,11/5/24,Kamala Harris,41,57,2,1
1.8,0.4,9/14/22,9/15/22,11/5/24,Kamala Harris,35,40,25,1
2,0,9/2/22,9/4/22,11/5/24,Kamala Harris,40,58,3,1
1.8,0.4,8/28/22,8/28/22,11/5/24,Kamala Harris,34,45,22,1
1.8,0.4,8/17/22,8/17/22,11/5/24,Kamala Harris,35,43,22,1
2,0,8/5/22,8/7/22,11/5/24,Kamala Harris,39,59,2,1
1.2,0.7,8/4/22,8/6/22,11/5/24,Kamala Harris,43.8,51.7,4.5,1
1.2,0.7,8/4/22,8/6/22,11/5/24,Kamala Harris,39.6,51.4,9,1
1.8,0.4,7/28/22,7/28/22,11/5/24,Kamala Harris,33,40,26,1
2,0,7/23/22,7/24/22,11/5/24,Kamala Harris,40,58,2,1
2.8,-1.1,7/10/22,7/13/22,11/5/24,Kamala Harris,39,58,3,1
2,0,7/8/22,7/10/22,11/5/24,Kamala Harris,39,59,2,1
1.8,0.4,7/9/22,7/9/22,11/5/24,Kamala Harris,34,43,24,1
2,0,6/24/22,6/26/22,11/5/24,Kamala Harris,40,58,2,1
1.8,0.4,6/15/22,6/15/22,11/5/24,Kamala Harris,32,39,29,1
2,0,6/10/22,6/12/22,11/5/24,Kamala Harris,39,59,3,1
1.8,0.4,5/30/22,5/30/22,11/5/24,Kamala Harris,37,41,21,1
2,0,5/28/22,5/29/22,11/5/24,Kamala Harris,40,58,2,1
1.8,0.4,5/17/22,5/17/22,11/5/24,Kamala Harris,37,45,18,1
2,0,5/13/22,5/15/22,11/5/24,Kamala Harris,41,57,2,1
1.8,0.4,5/1/22,5/1/22,11/5/24,Kamala Harris,36,43,21,1
2,0,4/29/22,5/1/22,11/5/24,Kamala Harris,40,58,2,1
2.8,-1.1,4/28/22,5/1/22,11/5/24,Kamala Harris,41,53,5,1
0.7,0.6,4/18/22,4/20/22,11/5/24,Kamala Harris,28.5,62.6,8.9,1
1.8,0.4,4/18/22,4/18/22,11/5/24,Kamala Harris,36,46,19,1
3,-1.1,4/9/22,4/12/22,11/5/24,Kamala Harris,39,48,14,1
3,-1.1,4/9/22,4/12/22,11/5/24,Kamala Harris,41,49,10,1
1.8,0.4,4/3/22,4/3/22,11/5/24,Kamala Harris,37,43,20,1
1.8,0.4,3/20/22,3/20/22,11/5/24,Kamala Harris,37,43,21,1
2,0,3/18/22,3/20/22,11/5/24,Kamala Harris,42,56,2,1
1.3,0.8,2/28/22,3/12/22,11/5/24,Kamala Harris,40.3,51.9,7.8,1
1.8,0.4,3/8/22,3/8/22,11/5/24,Kamala Harris,34,43,23,1
1.2,1,3/3/22,3/8/22,11/5/24,Kamala Harris,40,41,19,1
1.2,1,3/3/22,3/8/22,11/5/24,Kamala Harris,44,41,15,1
2,0,3/4/22,3/6/22,11/5/24,Kamala Harris,44,54,3,1
1.8,0.4,2/23/22,2/23/22,11/5/24,Kamala Harris,37,42,22,1
2.8,-1.1,2/19/22,2/22/22,11/5/24,Kamala Harris,40,56,4,1
1.8,0.4,2/6/22,2/6/22,11/5/24,Kamala Harris,36,43,21,1
2,0,2/4/22,2/6/22,11/5/24,Kamala Harris,40,57,3,1
1.2,0.7,1/21/22,1/24/22,11/5/24,Kamala Harris,43.3,48.5,8.2,1
2,0,1/21/22,1/23/22,11/5/24,Kamala Harris,42,56,2,1
2.8,-1.1,1/16/22,1/19/22,11/5/24,Kamala Harris,43,54,3,1
3,-1.1,1/12/22,1/14/22,11/5/24,Kamala Harris,44,56,0,1
1.8,0.4,1/8/22,1/9/22,11/5/24,Kamala Harris,35,43,23,1
2.9,-1,12/27/21,12/30/21,11/5/24,Kamala Harris,32.3,47.4,20.3,1
2.4,-0.4,12/14/21,12/20/21,11/5/24,Kamala Harris,35,53,13,1
1.8,0.4,12/18/21,12/18/21,11/5/24,Kamala Harris,37,41,23,1
2.5,-0.4,12/1/21,12/16/21,11/5/24,Kamala Harris,44,54,1,1
1.5,-0.1,12/6/21,12/7/21,11/5/24,Kamala Harris,43,50,7,1
1.8,0.4,12/5/21,12/5/21,11/5/24,Kamala Harris,35,42,24,1
2,0,12/3/21,12/5/21,11/5/24,Kamala Harris,41,57,2,1
2,0,11/19/21,11/21/21,11/5/24,Kamala Harris,42,55,3,1
1.5,-0.1,11/16/21,11/18/21,11/5/24,Kamala Harris,40,43,0,1
2.8,-1.1,11/14/21,11/17/21,11/5/24,Kamala Harris,40,53,7,1
1.8,0.4,11/15/21,11/15/21,11/5/24,Kamala Harris,34,44,23,1
2,0,11/5/21,11/7/21,11/5/24,Kamala Harris,43,55,2,1
2.9,-1,11/3/21,11/5/21,11/5/24,Kamala Harris,27.8,51.2,21,1
1.8,0.4,10/31/21,10/31/21,11/5/24,Kamala Harris,37,42,21,1
2,0,10/22/21,10/24/21,11/5/24,Kamala Harris,42,56,3,1
1.5,-0.1,10/20/21,10/23/21,11/5/24,Kamala Harris,39,45,16,1
1.3,0.8,10/17/21,10/23/21,11/5/24,Kamala Harris,47.3,44.9,7.8,1
2.8,-1.1,10/16/21,10/19/21,11/5/24,Kamala Harris,45,53,2,1
1.8,0.4,10/17/21,10/17/21,11/5/24,Kamala Harris,37,38,25,1
2,0,10/8/21,10/10/21,11/5/24,Kamala Harris,43,55,3,1
1.8,0.4,10/5/21,10/5/21,11/5/24,Kamala Harris,39,38,23,1
2,0,9/24/21,9/26/21,11/5/24,Kamala Harris,43,54,3,1
1.5,-0.1,9/24/21,9/25/21,11/5/24,Kamala Harris,42,41,16,1
1.8,0.4,9/19/21,9/20/21,11/5/24,Kamala Harris,39,36,26,1
2.5,-0.4,9/1/21,9/17/21,11/5/24,Kamala Harris,49,49,2,1
2,0,9/10/21,9/13/21,11/5/24,Kamala Harris,45,52,3,1
1.2,1,9/2/21,9/9/21,11/5/24,Kamala Harris,33,41,26,1
1.2,1,9/2/21,9/9/21,11/5/24,Kamala Harris,36,43,21,1
2.8,-0.6,8/3/21,9/7/21,11/5/24,Kamala Harris,52,48,0,1
2.8,-0.6,8/3/21,9/7/21,11/5/24,Kamala Harris,50,50,1,1
1.8,0.4,9/4/21,9/5/21,11/5/24,Kamala Harris,41,34,26,1
2,0,8/27/21,8/30/21,11/5/24,Kamala Harris,44,53,3,1
3,-1.1,8/14/21,8/17/21,11/5/24,Kamala Harris,39,45,17,1
3,-1.1,8/14/21,8/17/21,11/5/24,Kamala Harris,42,47,11,1
2,0,8/13/21,8/15/21,11/5/24,Kamala Harris,49,49,2,1
1.5,-0.1,8/12/21,8/14/21,11/5/24,Kamala Harris,46,42,12,1
1.5,-0.1,8/4/21,8/5/21,11/5/24,Kamala Harris,47,43,10,1
2,0,7/30/21,8/1/21,11/5/24,Kamala Harris,49,50,2,1
1.2,1,7/27/21,7/30/21,11/5/24,Kamala Harris,40,37,22,1
2,0,7/16/21,7/18/21,11/5/24,Kamala Harris,49,48,3,1
1.2,0.7,7/5/21,7/6/21,11/5/24,Kamala Harris,55,40,5,1
2,0,7/2/21,7/4/21,11/5/24,Kamala Harris,51,47,3,1
2.8,-1.1,6/19/21,6/22/21,11/5/24,Kamala Harris,50,47,3,1
2,0,6/18/21,6/20/21,11/5/24,Kamala Harris,44,43,13,1
2,0,6/4/21,6/6/21,11/5/24,Kamala Harris,45,40,15,1
1.2,0.7,5/26/21,5/27/21,11/5/24,Kamala Harris,55,40,5,1
2,0,5/21/21,5/23/21,11/5/24,Kamala Harris,47,39,14,1
1.8,0.4,5/8/21,5/9/21,11/5/24,Kamala Harris,49,36,14,1
2,0,5/7/21,5/9/21,11/5/24,Kamala Harris,47,39,14,1
3,-1.1,4/25/21,4/27/21,11/5/24,Kamala Harris,43,37,19,1
3,-1.1,4/25/21,4/27/21,11/5/24,Kamala Harris,47,39,13,1
2.8,-0.6,4/21/21,4/26/21,11/5/24,Kamala Harris,53,38,10,1
2,0,4/23/21,4/25/21,11/5/24,Kamala Harris,47,39,15,1
1.3,0.8,2/7/21,2/14/21,11/5/24,Kamala Harris,55.2,31.7,0,1