state,abbr,electors,partisan_lean,d_2pv_polls,d_2pv_fund,d_2pv_final,d_pv,r_pv,category,d_electors,r_electors
Alabama,AL,9,-12.886872800159823,51.8965103371648,49.81396569388118,39.00963753700498,39.00963753700498,60.99036246299502,Strong R,277,261
Alaska,AK,3,-6.94420157873601,51.8965103371648,49.81396569388118,44.952308758428785,44.952308758428785,55.047691241571215,Likely R,277,261
Arizona,AZ,11,-2.3483406646639864,51.8965103371648,49.81396569388118,49.54816967250081,49.54816967250081,50.45183032749919,Lean R,277,261
Arkansas,AR,6,-13.596791391691426,51.8965103371648,49.81396569388118,38.29971894547337,38.29971894547337,61.70028105452663,Strong R,277,261
California,CA,54,12.705837027234987,51.8965103371648,49.81396569388118,64.60234736439979,64.60234736439979,35.39765263560021,Strong D,277,261
Colorado,CO,10,2.9460343295429006,51.8965103371648,49.81396569388118,54.842544666707695,54.842544666707695,45.157455333292305,Lean D,277,261
Connecticut,CT,7,5.994511907771764,51.8965103371648,49.81396569388118,57.891022244936565,57.891022244936565,42.108977755063435,Likely D,277,261
Delaware,DE,3,5.363417071287965,51.8965103371648,49.81396569388118,57.25992740845276,57.25992740845276,42.74007259154724,Likely D,277,261
District Of Columbia,DC,3,35.8036185114256,51.8965103371648,49.81396569388118,87.7001288485904,87.7001288485904,12.299871151409604,Strong D,277,261
Florida,FL,30,-3.2671681366879226,51.8965103371648,49.81396569388118,48.62934220047688,48.62934220047688,51.37065779952312,Lean R,277,261
Georgia,GA,16,-2.5137333382719516,51.8965103371648,49.81396569388118,49.382776998892844,49.382776998892844,50.617223001107156,Lean R,277,261
Hawaii,HI,4,11.52165616888945,51.8965103371648,49.81396569388118,63.41816650605425,63.41816650605425,36.58183349394575,Strong D,277,261
Idaho,ID,4,-15.629347046115322,51.8965103371648,49.81396569388118,36.26716329104948,36.26716329104948,63.73283670895052,Strong R,277,261
Illinois,IL,19,5.638092032916029,51.8965103371648,49.81396569388118,57.534602370080826,57.534602370080826,42.465397629919174,Likely D,277,261
Indiana,IN,11,-9.06954753214071,51.8965103371648,49.81396569388118,42.82696280502409,42.82696280502409,57.17303719497591,Likely R,277,261
Iowa,IA,6,-5.433283874000137,51.8965103371648,49.81396569388118,46.46322646316466,46.46322646316466,53.53677353683534,Lean R,277,261
Kansas,KS,6,-8.943707058476932,51.8965103371648,49.81396569388118,42.95280327868787,42.95280327868787,57.04719672131213,Likely R,277,261
Kentucky,KY,8,-13.401932093641356,51.8965103371648,49.81396569388118,38.49457824352344,38.49457824352344,61.50542175647656,Strong R,277,261
Louisiana,LA,8,-9.800542333553405,51.8965103371648,49.81396569388118,42.09596800361139,42.09596800361139,57.90403199638861,Likely R,277,261
Maine,ME,2,1.3712859520279068,51.8965103371648,49.81396569388118,53.2677962891927,53.2677962891927,46.7322037108073,Lean D,277,261
Maine_d2,ME_d2,1,-0.107342421050308,51.8965103371648,49.81396569388118,51.789167916114494,51.789167916114494,48.210832083885506,Lean D,277,261
Maryland,MD,10,11.717751630467172,51.8965103371648,49.81396569388118,63.61426196763197,63.61426196763197,36.38573803236803,Strong D,277,261
Massachusetts,MA,11,11.939045041803412,51.8965103371648,49.81396569388118,63.83555537896821,63.83555537896821,36.16444462103179,Strong D,277,261
Michigan,MI,15,-1.0204222346817196,51.8965103371648,49.81396569388118,50.87608810248308,50.87608810248308,49.12391189751692,Lean D,277,261
Minnesota,MN,10,0.7689300324861552,51.8965103371648,49.81396569388118,52.66544036965095,52.66544036965095,47.33455963034905,Lean D,277,261
Mississippi,MS,6,-8.897637145561369,51.8965103371648,49.81396569388118,42.99887319160343,42.99887319160343,57.00112680839657,Likely R,277,261
Missouri,MO,10,-8.785715276081318,51.8965103371648,49.81396569388118,43.11079506108348,43.11079506108348,56.88920493891652,Likely R,277,261
Montana,MT,4,-9.453139099537662,51.8965103371648,49.81396569388118,42.44337123762713,42.44337123762713,57.55662876237287,Likely R,277,261
Nebraska,NE,2,-10.897862890895135,51.8965103371648,49.81396569388118,40.998647446269665,40.998647446269665,59.001352553730335,Likely R,277,261
Nebraska_d2,NE_d2,1,-0.2593358348682646,51.8965103371648,49.81396569388118,51.63717450229653,51.63717450229653,48.36282549770347,Lean D,277,261
Nevada,NV,6,-0.9065193414650734,51.8965103371648,49.81396569388118,50.98999099569973,50.98999099569973,49.01000900430027,Lean D,277,261
New Hampshire,NH,4,0.7761071667081645,51.8965103371648,49.81396569388118,52.672617503872964,52.672617503872964,47.327382496127036,Lean D,277,261
New Jersey,NJ,14,4.83496727030721,51.8965103371648,49.81396569388118,56.73147760747201,56.73147760747201,43.26852239252799,Likely D,277,261
New Mexico,NM,5,2.6793269255618446,51.8965103371648,49.81396569388118,54.575837262726644,54.575837262726644,45.424162737273356,Lean D,277,261
New York,NY,28,8.55618980756713,51.8965103371648,49.81396569388118,60.45270014473193,60.45270014473193,39.54729985526807,Strong D,277,261
North Carolina,NC,16,-2.7549651604345153,51.8965103371648,49.81396569388118,49.14154517673028,49.14154517673028,50.85845482326972,Lean R,277,261
North Dakota,ND,3,-16.792738671954552,51.8965103371648,49.81396569388118,35.103771665210246,35.103771665210246,64.89622833478975,Strong R,277,261
Ohio,OH,17,-5.948478176332971,51.8965103371648,49.81396569388118,45.94803216083183,45.94803216083183,54.05196783916817,Lean R,277,261
Oklahoma,OK,7,-16.49920564414529,51.8965103371648,49.81396569388118,35.39730469301951,35.39730469301951,64.6026953069805,Strong R,277,261
Oregon,OR,8,4.661571633709834,51.8965103371648,49.81396569388118,56.55808197087463,56.55808197087463,43.44191802912537,Likely D,277,261
Pennsylvania,PA,19,-1.525231247911602,51.8965103371648,49.81396569388118,50.3712790892532,50.3712790892532,49.6287209107468,Lean D,277,261
Rhode Island,RI,4,6.540201287244186,51.8965103371648,49.81396569388118,58.436711624408986,58.436711624408986,41.563288375591014,Likely D,277,261
South Carolina,SC,9,-7.067921968044999,51.8965103371648,49.81396569388118,44.8285883691198,44.8285883691198,55.1714116308802,Likely R,277,261
South Dakota,SD,3,-13.616163211805452,51.8965103371648,49.81396569388118,38.28034712535935,38.28034712535935,61.71965287464065,Strong R,277,261
Tennessee,TN,11,-12.071811790524869,51.8965103371648,49.81396569388118,39.82469854663993,39.82469854663993,60.17530145336007,Strong R,277,261
Texas,TX,40,-5.186555987075756,51.8965103371648,49.81396569388118,46.70995435008904,46.70995435008904,53.29004564991096,Lean R,277,261
Utah,UT,6,-11.09468282745864,51.8965103371648,49.81396569388118,40.80182750970616,40.80182750970616,59.19817249029384,Likely R,277,261
Vermont,VT,3,12.752243356202204,51.8965103371648,49.81396569388118,64.648753693367,64.648753693367,35.351246306633,Strong D,277,261
Virginia,VA,13,2.157700820424394,51.8965103371648,49.81396569388118,54.054211157589194,54.054211157589194,45.945788842410806,Lean D,277,261
Washington,WA,12,6.28934464576799,51.8965103371648,49.81396569388118,58.18585498293279,58.18585498293279,41.81414501706721,Likely D,277,261
West Virginia,WV,4,-18.887879679435603,51.8965103371648,49.81396569388118,33.0086306577292,33.0086306577292,66.9913693422708,Strong R,277,261
Wisconsin,WI,10,-1.568574496540146,51.8965103371648,49.81396569388118,50.327935840624654,50.327935840624654,49.672064159375346,Lean D,277,261
Wyoming,WY,3,-21.3637774045864,51.8965103371648,49.81396569388118,30.532732932578398,30.532732932578398,69.4672670674216,Strong R,277,261
